,Codigo,Descripcion,Unidad,Costo_Materiales,Costo_Ejecucion,Costo_Total
128,9.03,Mortero a la cal aplicado bajo losa,m2,"$ 3.172,83","$ 17.890,68","$ 21.063,51"
129,9.04,"Placa de yeso común junta tomada, con aislación",m2,"$ 13.250,62","$ 8.197,16","$ 21.447,78"
130,9.05,"Placa de yeso común junta tomada, sin aislación",m2,"$ 11.815,09","$ 8.013,80","$ 19.828,89"
131,9.06,"Placa de yeso común para cajones, taparrollos",m2,"$ 12.365,67","$ 9.478,73","$ 21.844,40"
132,9.07,Placa de yeso resistente a la humedad junta tomada,m2,"$ 14.580,78","$ 8.506,34","$ 23.087,12"
133,9.08,"Placa vinílica texturada desmontable, sin aislación",m2,"$ 12.552,54","$ 9.055,34","$ 21.607,88"
134,9.09,Yeso aplicado bajo losa,m2,"$ 1.683,16","$ 17.890,68","$ 19.573,84"
135,9.1,"Yeso armado, con estructura madera",m2,"$ 13.593,34","$ 30.711,03","$ 44.304,37"
136,10.0,REVESTIMIENTOS,,,,
137,10.01,Cemento alisado,m2,"$ 6.799,23","$ 27.171,61","$ 33.970,83"
138,10.02,Cerámicos esmaltados,m2,"$ 20.016,49","$ 15.836,50","$ 35.852,98"
139,10.03,"Granito reconstituido en escalones e:2,5cm (h/ch/z)",m2,"$ 219.386,98","$ 48.600,84","$ 267.987,82"
140,10.04,"Mesada de granito natural e=2,5cm, comp. (gris mara)",m2,"$ 137.994,34","$ 28.752,94","$ 166.747,29"
141,10.05,"Mesada de piedra natural e=2,5cm, comp. (travertino)",m2,"$ 241.989,20","$ 35.253,73","$ 277.242,93"
142,10.06,Plástico texturado,m2,"$ 9.235,98","$ 20.047,97","$ 29.283,94"
143,10.07,Porcellanato canto rectificado,m2,"$ 52.408,41","$ 16.902,12","$ 69.310,53"
144,10.08,Porcellanato sin rectificar,m2,"$ 31.576,07","$ 13.785,37","$ 45.361,44"
145,10.09,Tejuelas refractarias,m2,"$ 23.403,91","$ 21.146,72","$ 44.550,63"
146,11.0,PISOS,,,,
147,11.01,Alfombra alto tránsito 8mm,m2,"$ 33.777,33","$ 7.941,89","$ 41.719,22"
148,11.02,Carpeta cemento bajo pisos,m2,"$ 4.651,11","$ 6.391,86","$ 11.042,98"
149,11.03,Cemento alisado,m2,"$ 5.030,48","$ 7.166,69","$ 12.197,17"
150,11.04,"Cemento term.a la llana mecánica, incl.H° e=4cm",m2,"$ 10.971,20","$ 8.434,93","$ 19.406,13"
151,11.05,"Cemento term.texturado/raspinado, incl.H° e=4cm",m2,"$ 10.346,03","$ 8.790,14","$ 19.136,17"
152,11.06,Cerámicas esmaltadas,m2,"$ 21.239,79","$ 15.424,51","$ 36.664,30"
153,11.07,Cerámicas rojas,m2,"$ 15.348,58","$ 14.649,68","$ 29.998,26"
154,11.08,Losetas de Hº 40x60cm,m2,"$ 23.012,96","$ 13.010,11","$ 36.023,07"
155,11.09,Losetas graníticas 40x40cm,m2,"$ 20.934,38","$ 15.496,55","$ 36.430,93"
156,11.1,Madera flotante simil algarrobo e=8mm,m2,"$ 23.027,63","$ 18.240,66","$ 41.268,28"
157,11.11,Madera parquet algarrobo e=19mm,m2,"$ 23.463,58","$ 17.821,03","$ 41.284,61"
158,11.12,Madera semidura tipo deck,m2,"$ 19.136,37","$ 13.946,90","$ 33.083,26"
159,11.13,Mosaicos graníticos 30x30cm,m2,"$ 20.272,88","$ 17.594,66","$ 37.867,54"
160,11.14,Pavimento con adoquín intertrabado e=8cm,m2,"$ 25.685,89","$ 14.721,72","$ 40.407,62"
161,11.15,Porcellanato pulido,m2,"$ 48.173,10","$ 17.748,99","$ 65.922,10"
162,11.16,Porcellanato sin pulir,m2,"$ 29.024,30","$ 14.476,08","$ 43.500,37"
163,12.0,ZOCALOS,,,,
164,12.01,Cemento alisado h=10 cm,m,"$ 243,13","$ 3.938,55","$ 4.181,68"
165,12.02,Cerámico Esmaltado,m,"$ 3.880,25","$ 2.744,10","$ 6.624,35"
166,12.03,Cerámico Gres,m,"$ 2.969,97","$ 2.744,10","$ 5.714,08"
167,12.04,Madera,m,"$ 3.357,47","$ 2.660,18","$ 6.017,65"
168,12.05,Mosaico granítico 10x30cm,m,"$ 3.609,54","$ 3.518,93","$ 7.128,47"
169,12.06,Perfil metálico,m,"$ 2.655,95","$ 2.576,26","$ 5.232,20"
170,12.07,Porcellanato pulido,m,"$ 8.752,06","$ 2.911,95","$ 11.664,01"
171,13.0,CARPINTERÍAS,,,,
172,13.01,Puerta ingreso madera maciza,m2,"$ 302.315,50","$ 46.489,66","$ 348.805,16"
173,13.02,Puerta interior madera placa ench.madera,m2,"$ 117.208,18","$ 38.741,38","$ 155.949,56"
174,13.03,Puerta interior madera placa ench.mdf,m2,"$ 91.953,84","$ 37.191,72","$ 129.145,56"
175,13.04,Rejas de hierro,m2,"$ 105.453,73","$ 30.735,45","$ 136.189,18"
176,13.05,"Ventana, Puerta ventana aluminio",m2,"$ 216.411,71","$ 31.767,93","$ 248.179,64"
177,13.06,"Ventana, Puerta ventana aluminio con postigos",m2,"$ 751.724,02","$ 41.220,83","$ 792.944,85"
178,13.07,"Ventana, Puerta ventana chapa doblada con celosía",m2,"$ 113.007,65","$ 36.416,90","$ 149.424,55"
179,13.08,"Ventana, Puerta ventana madera",m2,"$ 703.369,46","$ 32.542,76","$ 735.912,21"
180,13.09,"Ventana, Puerta ventana madera con postigos",m2,"$ 1.142.835,38","$ 43.390,35","$ 1.186.225,73"
181,13.1,"Ventana, Ventiluz chapa doblada",m2,"$ 62.998,98","$ 30.993,10","$ 93.992,09"
182,14.0,VIDRIERÍA,,,,
183,14.01,Cristal Templado 10mm,m2,"$ 263.429,89","$ 31.508,42","$ 294.938,31"
184,14.02,Espejo Cristal 6mm,m2,"$ 78.840,62","$ 6.198,62","$ 85.039,24"
185,14.03,Vidrio doble hermético DVH 24mm,m2,"$ 238.910,53","$ 18.698,93","$ 257.609,45"
186,14.04,Vidrio laminado seguridad 3+3mm color,m2,"$ 158.154,83","$ 11.398,72","$ 169.553,55"
187,14.05,Vidrio laminado seguridad 3+3mm incoloro,m2,"$ 128.045,60","$ 10.336,90","$ 138.382,50"
188,14.06,Vidrio laminado seguridad 4+4mm color,m2,"$ 182.662,06","$ 10.107,36","$ 192.769,42"
189,14.07,Vidrio laminado seguridad 4+4mm incoloro,m2,"$ 174.696,61","$ 9.878,77","$ 184.575,39"
190,14.08,Vidrio tipo inglés 3mm color,m2,"$ 62.440,28","$ 8.277,59","$ 70.717,87"
191,14.09,Vidrio tipo inglés 3mm incoloro,m2,"$ 49.267,72","$ 7.812,69","$ 57.080,41"
192,14.1,Vidrio Transparente 3mm,m2,"$ 24.063,27","$ 5.152,51","$ 29.215,78"
193,14.11,Vidrio Transparente 4mm,m2,"$ 30.161,67","$ 6.585,85","$ 36.747,52"
194,15.0,PINTURAS,,,,
195,15.01,Acrílica transparente en muros exteriores,m2,"$ 7.505,30","$ 7.812,69","$ 15.317,99"
196,15.02,Barniz p/ Carpintería madera,m2,"$ 11.101,78","$ 11.718,11","$ 22.819,89"
197,15.03,Esmalte Sintético  p/ Carpintería metálica,m2,"$ 14.051,33","$ 14.462,21","$ 28.513,55"
198,15.04,Látex en muros exteriores,m2,"$ 5.990,09","$ 8.232,31","$ 14.222,40"
199,15.05,Látex en muros interiores,m2,"$ 5.727,48","$ 7.037,86","$ 12.765,34"
200,15.06,Látex para Cielorraso,m2,"$ 4.269,17","$ 7.877,11","$ 12.146,27"
201,16.0,INSTALACION ELÉCTRICA ,,,,
202,,Elementos de la Instalación,,,,
203,,"Incluye materiales, mano de obra y equipos para apertura canaletas/zanjas, corte y pegado/roscado y colocación/montaje cañería, piezas, artefactos y accesorios, para la instalación completa y reglamentaria",,,,
204,16.01,Artefacto Iluminación,u,"$ 70.300,77","$ 17.406,78","$ 87.707,55"
205,16.02,Boca de electricidad,u,"$ 69.418,86","$ 30.358,30","$ 99.777,16"
206,16.03,Boca de telefonía,u,"$ 62.824,07","$ 27.322,47","$ 90.146,54"
207,16.04,Boca de televisión,u,"$ 59.006,03","$ 26.715,31","$ 85.721,34"
208,16.05,Tablero de electricidad,u,"$ 146.286,45","$ 40.477,74","$ 186.764,18"
209,16.06,Toma de electricidad,u,"$ 61.782,78","$ 27.018,89","$ 88.801,68"
210,17.0,INSTALACION SANITARIA / INCENDIO,,,,
211,,"Artefactos, Grifería y Accesorios",,,,
212,,"Incluye materiales (artefactos, griferías, accesorios), mano de obra y equipos para colocación/montaje de artefactos, piezas y accesorios, para la instalación completa y reglamentaria. Artefactos loza blanca y Grifería monocomando, calidad media.",,,,
213,17.01,Accesorios baño loza blanca (9 piezas),jgo,"$ 223.464,03","$ 50.977,58","$ 274.441,61"
214,17.02,Bañera metálica enlozada blanca c/ grifería,u,"$ 423.411,28","$ 75.752,20","$ 499.163,48"
215,17.03,Bidet loza blanca c/ grifería,u,"$ 280.402,77","$ 81.170,11","$ 361.572,87"
216,17.04,Inodoro pedestal loza blanca incl. D.I. y asiento,u,"$ 320.485,04","$ 80.441,15","$ 400.926,19"
217,17.05,Lavatorio loza blanca c/ grifería,u,"$ 253.801,94","$ 56.641,76","$ 310.443,70"
218,17.06,Pileta cocina bacha acero inoxidable c/ grifería,u,"$ 322.713,43","$ 56.651,61","$ 379.365,05"
219,17.07,Pileta lavar loza blanca c/ grifería,u,"$ 262.545,62","$ 51.617,88","$ 314.163,51"
220,,Agua e Incendio,,,,
221,,"Incluye materiales, mano de obra y equipos para apertura canaletas/zanjas, corte y pegado/roscado y colocación/montaje cañería, piezas especiales y accesorios, para la instalación completa y reglamentaria",,,,
222,17.08,Boca Incendio,u,"$ 871.336,41","$ 159.504,48","$ 1.030.840,89"
223,17.09,Bomba centrífuga 1/2 HP,u,"$ 311.674,86","$ 35.674,46","$ 347.349,32"
224,17.1,Canilla de servicio Ø 13mm c/ pico manguera,u,"$ 23.843,53","$ 7.762,38","$ 31.605,92"
225,17.11,Canilla de servicio Ø 13mm c/ pico manguera en nicho ac.inox.,u,"$ 58.655,09","$ 9.968,95","$ 68.624,04"
226,17.12,Cañería PP TF Ø 13mm,m,"$ 7.703,72","$ 5.664,18","$ 13.367,89"
227,17.13,Cañería PP TF Ø 19mm,m,"$ 9.608,01","$ 5.890,74","$ 15.498,75"
228,17.14,Cañería PP TF Ø 25mm,m,"$ 11.512,30","$ 6.176,41","$ 17.688,71"
229,17.15,Cañería PP TF Ø 38mm,m,"$ 12.637,56","$ 6.235,52","$ 18.873,08"
230,17.16,Cañería PP TF Ø 50mm,m,"$ 14.974,64","$ 6.353,73","$ 21.328,37"
231,17.17,Llave de paso Ø 13mm,u,"$ 13.458,27","$ 5.664,18","$ 19.122,44"
232,17.18,Llave de paso Ø 19mm,u,"$ 16.822,83","$ 6.560,59","$ 23.383,43"
233,17.19,Llave de paso Ø 25mm,u,"$ 33.645,66","$ 9.407,46","$ 43.053,12"
234,17.2,Llave de paso Ø 38mm,u,"$ 42.057,08","$ 10.195,52","$ 52.252,60"
235,17.21,Llave de paso Ø 50mm,u,"$ 49.627,36","$ 10.703,82","$ 60.331,17"
