,Codigo,Descripcion,Unidad,Costo_Materiales,Costo_Ejecucion,Costo_Total
55,4.11,Ladrillos comunes en cimientos,m3,"$ 127.847,57","$ 86.742,56","$ 214.590,13"
56,4.12,Ladrillos comunes en elevación,m3,"$ 129.868,64","$ 115.661,21","$ 245.529,85"
57,,Tabiquerías,,,,
58,,"Estructura chapa galvanizada y placas construcción en seco, materiales y técnicas según fabricante sistema.",,,,
59,4.13,"Placa cementícia doble esp.12,5cm exterior, con aislación",m2,"$ 21.707,19","$ 12.056,14","$ 33.763,33"
60,4.14,"Placa de yeso doble esp.12,5cm, con aislación",m2,"$ 18.180,05","$ 9.915,44","$ 28.095,49"
61,4.15,"Placa de yeso resistente a la humedad esp.9,5cm ",m2,"$ 20.707,08","$ 10.113,65","$ 30.820,73"
62,4.16,"Placa de yeso simple esp.8,5cm medio tabique interior",m2,"$ 8.248,27","$ 4.764,25","$ 13.012,51"
63,4.17,"Placa de yeso simple esp.9,5cm interior, con aislación",m2,"$ 12.984,05","$ 5.324,11","$ 18.308,16"
64,4.18,"Placa de yeso simple esp.9,5cm interior, sin aislación",m2,"$ 10.531,36","$ 5.111,30","$ 15.642,67"
65,5.0,AISLACIONES,,,,
66,5.01,Aislante acústico lana en rollo tipo Acustiver,m2,"$ 3.735,91","$ 3.370,50","$ 7.106,41"
67,5.02,Aislante acústico panel fonoabsorbente tipo Fonac,m2,"$ 31.132,55","$ 3.874,14","$ 35.006,69"
68,5.03,Cementícia doble horizontal en muros,m2,"$ 7.975,27","$ 4.648,97","$ 12.624,24"
69,5.04,Cementícia doble vertical en muros,m2,"$ 5.775,41","$ 3.874,14","$ 9.649,54"
70,5.05,Cementícia vertical con tabique panderete para subsuelo,m2,"$ 19.630,51","$ 19.692,76","$ 39.323,27"
71,5.06,Lana de vidrio con cara aluminio 50mm,m2,"$ 6.061,47","$ 1.575,42","$ 7.636,89"
